['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'nan', 2]
['Zagreus', 'Athene', 'nan', 'Gabe', 'Tartaros', 1]
['Zagreus', 'Artemis', 'nan', 'Gabe', 'Tartaros', 2]
['Hades', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 1]
['Nyx', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 3]
['Achilles', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 2]
['Skelly', 'Zagreus', 'nan', 'Gespräch', 'Hof', 3]
['Zeus', 'Zagreus', 'nan', 'Gabe', 'Tartaros', 1]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Tartaros', 1]
['Zagreus', 'Megaira', 'nan', 'Boss', 'Tartaros', 4]
['Hypnos', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 1]
['Zagreus', 'Hades', 'nan', 'Gespräch', 'Thronsaal', 2]
['Nyx', 'Hades', 'nan', 'Gespräch', 'Thronsaal', 1]
['Zagreus', 'Nyx', 'nan', 'Gespräch', 'Thronsaal', 1]
['Aphrodite', 'Zagreus', 'nan', 'Gabe', 'Tartaros', 1]
['Charon', 'Zagreus', 'nan', 'Nektar', 'Tartaros', 2]
['Zagreus', 'Charon', 'nan', 'Gespräch', 'Tartaros', 2]
['Zagreus', 'Megaira', 'nan', 'Boss', 'Tartaros', 2]
['Zagreus', 'Sisyphos', 'nan', 'Begegnung', 'Tartaros', 2]
['Aphrodite', 'Zagreus', 'nan', 'Gabe', 'Tartaros', 1]
['Zagreus', 'Charon', 'nan', 'Gespräch', 'Tartaros', 2]
['Zagreus', 'Megaira', 'nan', 'Boss', 'Tartaros', 2]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Tartaros', 1]
['Megaira', 'Zagreus', 'nan', 'Boss', 'Tartaros', 3]
['Hermes', 'Zagreus', 'nan', 'Gabe', 'Asphodel', 1]
['Artemis', 'Zagreus', 'nan', 'Gabe', 'Asphodel', 1]
['Nyx', 'Hades', 'nan', 'überhört', 'Thronsaal', 3]
['Megaira', 'Zagreus', 'nan', 'Gespräch', 'Salon', 3]
