['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'nan', 2]
['Zagreus', 'Athene', 'nan', 'Gabe', 'Tartaros', 1]
['Zagreus', 'Artemis', 'nan', 'Gabe', 'Tartaros', 2]
['Hypnos', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 1]
['Hades', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 2]
['Erzählinstanz', 'nan', 'nan', 'Gespräch', 'Thronsaal', 1]
['Hades', 'Kerberos', 'nan', 'Gespräch', 'Thronsaal', 1]
['Nyx', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 3]
['Achilles', 'Zagreus', 'nan', 'Gespräch', 'Thronsaal', 2]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Thronsaal', 1]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Schlafzimmer Zagreus', 1]
['Skelly', 'Zagreus', 'nan', 'Gespräch', 'Hof', 3]
['Zagreus', 'Zeus', 'nan', 'Gabe', 'Tartaros', 2]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Tartaros', 1]
['Charon', 'Zagreus', 'nan', 'Gespräch', 'Tartaros', 1]
['Athene', 'Zagreus', 'nan', 'Gabe', 'Tartaros', 1]
['Megaira', 'Zagreus', 'nan', 'Boss', 'Tartaros', 5]
['Hypnos', 'Zagreus', 'nan', 'Boss', 'Tartaros', 1]
['Zagreus', 'Hades', 'nan', 'Gespräch', 'Thronsaal', 4]
['Nyx', 'Hades', 'nan', 'Gespräch', 'Thronsaal', 1]
['Zagreus', 'Nyx', 'nan', 'Gespräch', 'Thronsaal', 1]
['Zagreus', 'Aphrodite', 'nan', 'Gabe', 'Tartaros', 2]
['Zagreus', 'Charon', 'nan', 'Nektar', 'Tartaros', 3]
['Zagreus', 'Charon', 'nan', 'Gespräch', 'Tartaros', 2]
['Erzählinstanz', 'nan', 'nan', 'Erzählung', 'Tartaros', 1]
['Megaira', 'Zagreus', 'nan', 'Boss', 'Tartaros', 3]
['Sisyphos', 'Zagreus', 'nan', 'Begegnung', 'Tartaros', 3]
['Aphrodite', 'Zagreus', 'nan', 'Gabe', 'Tartaros', 1]
